"x"	"y"
0	8.49235e-14
0.02	1.54548e-13
0.04	2.83051e-13
0.06	5.23266e-13
0.08	9.80275e-13
0.1	1.8646e-12
0.12	3.60186e-12
0.14	7.0546e-12
0.16	1.39794e-11
0.18	2.79811e-11
0.2	5.6494e-11
0.22	1.14838e-10
0.24	2.34558e-10
0.26	4.80603e-10
0.28	9.86548e-10
0.3	2.02651e-09
0.32	4.16153e-09
0.34	8.53579e-09
0.36	1.74694e-08
0.38	3.56209e-08
0.4	7.21887e-08
0.42	1.4481e-07
0.44	2.8566e-07
0.46	5.48853e-07
0.48	1.01475e-06
0.5	1.78357e-06
0.52	2.95484e-06
0.54	4.60252e-06
0.56	6.76051e-06
0.58	9.42237e-06
0.6	1.25476e-05
0.62	1.60678e-05
0.64	1.9892e-05
0.66	2.39163e-05
0.68	2.80388e-05
0.7	3.2174e-05
0.72	3.62608e-05
0.74	4.02617e-05
0.76	4.41571e-05
0.78	4.79399e-05
0.8	5.16105e-05
0.82	5.51729e-05
0.84	5.86335e-05
0.86	6.19992e-05
0.88	6.5277e-05
0.9	6.84735e-05
0.92	7.15951e-05
0.94	7.46474e-05
0.96	7.76356e-05
0.98	8.05644e-05
1	8.34378e-05
1.02	8.62598e-05
1.04	8.90335e-05
1.06	9.17622e-05
1.08	9.44485e-05
1.1	9.70948e-05
1.12	9.97034e-05
1.14	0.000102276
1.16	0.000104816
1.18	0.000107323
1.2	0.000109799
1.22	0.000112246
1.24	0.000114666
1.26	0.000117058
1.28	0.000119425
1.3	0.000121768
1.32	0.000124087
1.34	0.000126383
1.36	0.000128657
1.38	0.00013091
1.4	0.000133143
1.42	0.000135356
1.44	0.00013755
1.46	0.000139725
1.48	0.000141882
1.5	0.000144022
1.52	0.000146146
1.54	0.000148252
1.56	0.000150343
1.58	0.000152418
1.6	0.000154478
1.62	0.000156523
1.64	0.000158553
1.66	0.00016057
1.68	0.000162573
1.7	0.000164562
1.72	0.000166538
1.74	0.000168502
1.76	0.000170452
1.78	0.000172391
1.8	0.000174317
1.82	0.000176232
1.84	0.000178135
1.86	0.000180026
1.88	0.000181907
1.9	0.000183776
1.92	0.000185635
1.94	0.000187483
1.96	0.000189321
1.98	0.000191149

