"x"	"y"
0	2.75235e-13
0.02	5.34774e-13
0.04	1.05685e-12
0.06	2.1184e-12
0.08	4.28874e-12
0.1	8.73786e-12
0.12	1.78711e-11
0.14	3.66328e-11
0.16	7.51856e-11
0.18	1.54405e-10
0.2	3.17118e-10
0.22	6.51074e-10
0.24	1.3358e-09
0.26	2.73789e-09
0.28	5.60415e-09
0.3	1.14504e-08
0.32	2.3336e-08
0.34	4.73807e-08
0.36	9.56396e-08
0.38	1.91243e-07
0.4	3.76613e-07
0.42	7.239e-07
0.44	1.34205e-06
0.46	2.36934e-06
0.48	3.94465e-06
0.5	6.17066e-06
0.52	9.09311e-06
0.54	1.27042e-05
0.56	1.69573e-05
0.58	2.17794e-05
0.6	2.70732e-05
0.62	3.27129e-05
0.64	3.85444e-05
0.66	4.44049e-05
0.68	5.01541e-05
0.7	5.56964e-05
0.72	6.09819e-05
0.74	6.59958e-05
0.76	7.07447e-05
0.78	7.52461e-05
0.8	7.95218e-05
0.82	8.35944e-05
0.84	8.74852e-05
0.86	9.12136e-05
0.88	9.47969e-05
0.9	9.82503e-05
0.92	0.000101587
0.94	0.000104818
0.96	0.000107955
0.98	0.000111004
1	0.000113975
1.02	0.000116874
1.04	0.000119706
1.06	0.000122477
1.08	0.000125192
1.1	0.000127854
1.12	0.000130467
1.14	0.000133035
1.16	0.000135559
1.18	0.000138044
1.2	0.000140491
1.22	0.000142902
1.24	0.000145279
1.26	0.000147624
1.28	0.000149939
1.3	0.000152224
1.32	0.000154483
1.34	0.000156715
1.36	0.000158921
1.38	0.000161104
1.4	0.000163263
1.42	0.0001654
1.44	0.000167516
1.46	0.00016961
1.48	0.000171685
1.5	0.000173741
1.52	0.000175778
1.54	0.000177797
1.56	0.000179799
1.58	0.000181784
1.6	0.000183752
1.62	0.000185704
1.64	0.000187641
1.66	0.000189563
1.68	0.00019147
1.7	0.000193362
1.72	0.000195241
1.74	0.000197106
1.76	0.000198958
1.78	0.000200797
1.8	0.000202623
1.82	0.000204436
1.84	0.000206237
1.86	0.000208027
1.88	0.000209805
1.9	0.000211571
1.92	0.000213326
1.94	0.00021507
1.96	0.000216804
1.98	0.000218526

