"x"	"y"
0	-2.39967e-21
0	1.33427e-18
0	6.5163e-19
0	1.25531e-09
0	1.77755e-09
0	2.00395e-09
0	2.12939e-09
0	2.22864e-09
0	2.32386e-09
0	2.4196e-09
0	2.51646e-09
0	2.61453e-09
0	2.71382e-09
0	2.81434e-09
0	2.91611e-09
0	3.01911e-09
0	3.12335e-09
0	3.22881e-09
0	3.33546e-09
0	3.44325e-09
0	3.55213e-09
0	3.66202e-09
0	3.77284e-09
0	3.8845e-09
0	3.9969e-09
0	4.10998e-09
0	4.22367e-09
0	4.33793e-09
0	4.45275e-09
0	4.56812e-09
0	4.68406e-09
0	4.8006e-09
0	4.91776e-09
0	5.03558e-09
0	5.1541e-09
0	5.27334e-09
0	5.39335e-09
0	5.51416e-09
0	5.6358e-09
0	5.75831e-09
0	5.8817e-09
0	6.00602e-09
0	6.13128e-09
0	6.25751e-09
0	6.38473e-09
0	6.51297e-09
0	6.64225e-09
0	6.77259e-09
0	6.90402e-09
0	7.03654e-09
0	7.17018e-09
0	7.30495e-09
0	7.44088e-09
0	7.57798e-09
0	7.71626e-09
0	7.85575e-09
0	7.99646e-09
0	8.1384e-09
0	8.28159e-09
0	8.42604e-09
0	8.57178e-09
0	8.7188e-09
0	8.86714e-09
0	9.01679e-09
0	9.16777e-09
0	9.32011e-09
0	9.4738e-09
0	9.62886e-09
0	9.7853e-09
0	9.94315e-09
0	1.01024e-08
0	1.02631e-08
0	1.04252e-08
0	1.05887e-08
0	1.07537e-08
0	1.09201e-08
0	1.1088e-08
0	1.12575e-08
0	1.14284e-08
0	1.16008e-08
0	1.17747e-08
0	1.19501e-08
0	1.21271e-08
0	1.23056e-08
0	1.24857e-08
0	1.26674e-08
0	1.28507e-08
0	1.30355e-08
0	1.3222e-08
0	1.341e-08
0	1.35997e-08
0	1.37911e-08
0	1.39841e-08
0	1.41787e-08
0	1.43751e-08
0	1.45731e-08
0	1.47729e-08
0	1.49743e-08
0	1.51775e-08
0	1.53824e-08
0	1.55891e-08
0	1.57975e-08
0	1.60078e-08
0.02	3.09489e-08
0.04	5.95142e-08
0.06	1.13621e-07
0.08	2.1475e-07
0.1	4.00127e-07
0.12	7.30495e-07
0.14	1.2964e-06
0.16	2.21648e-06
0.18	3.62115e-06
0.2	5.62427e-06
0.22	8.29742e-06
0.24	1.1661e-05
0.26	1.56929e-05
0.28	2.03438e-05
0.3	2.55523e-05
0.32	3.12541e-05
0.34	3.73877e-05
0.36	4.38968e-05
0.38	5.0731e-05
0.4	5.78458e-05
0.42	6.52022e-05
0.44	7.2766e-05
0.46	8.05071e-05
0.48	8.83993e-05
0.5	9.64193e-05
0.52	0.000104547
0.54	0.000112764
0.56	0.000121054
0.58	0.000129404
0.6	0.0001378
0.62	0.000146233
0.64	0.000154691
0.66	0.000163167
0.68	0.000171652
0.7	0.00018014
0.72	0.000188625
0.74	0.000197102
0.76	0.000205565
0.78	0.000214011
0.8	0.000222436
0.82	0.000230837
0.84	0.000239211
0.86	0.000247557
0.88	0.000255872
0.9	0.000264155
0.92	0.000272403
0.94	0.000280617
0.96	0.000288795
0.98	0.000296936
1	0.00030504
1.02	0.000313106
1.04	0.000321135
1.06	0.000329126
1.08	0.000337078
1.1	0.000344992
1.12	0.000352869
1.14	0.000360707
1.16	0.000368507
1.18	0.00037627
1.2	0.000383995
1.22	0.000391683
1.24	0.000399335
1.26	0.000406949
1.28	0.000414526
1.3	0.000422068
1.32	0.000429573
1.34	0.000437042
1.36	0.000444475
1.38	0.000451872
1.4	0.000459234
1.42	0.000466561
1.44	0.000473852
1.46	0.000481108
1.48	0.000488329
1.5	0.000495515
1.52	0.000502666
1.54	0.000509783
1.56	0.000516864
1.58	0.00052391
1.6	0.000530921
1.62	0.000537896
1.64	0.000544835
1.66	0.000551738
1.68	0.000558605
1.7	0.000565435
1.72	0.000572227
1.74	0.000578982
1.76	0.000585699
1.78	0.000592378
1.8	0.000599019
1.82	0.000605622
1.84	0.000612188
1.86	0.000618718
1.88	0.000625214
1.9	0.000631679
1.92	0.00063812
1.94	0.000644543
1.96	0.000650962
1.98	0.000657393

