"x"	"y"
0	3.95801e-13
0.02	7.3349e-13
0.04	1.38595e-12
0.06	2.6602e-12
0.08	5.16189e-12
0.1	1.00857e-11
0.12	1.97873e-11
0.14	3.89069e-11
0.16	7.65726e-11
0.18	1.50708e-10
0.2	2.96416e-10
0.22	5.82237e-10
0.24	1.14157e-09
0.26	2.23305e-09
0.28	4.35578e-09
0.3	8.46701e-09
0.32	1.63877e-08
0.34	3.15411e-08
0.36	6.02524e-08
0.38	1.139e-07
0.4	2.12122e-07
0.42	3.86711e-07
0.44	6.8442e-07
0.46	1.16521e-06
0.48	1.89298e-06
0.5	2.92103e-06
0.52	4.27996e-06
0.54	5.97431e-06
0.56	7.98664e-06
0.58	1.02844e-05
0.6	1.28259e-05
0.62	1.55641e-05
0.64	1.8449e-05
0.66	2.14303e-05
0.68	2.44598e-05
0.7	2.74944e-05
0.72	3.04987e-05
0.74	3.34462e-05
0.76	3.63194e-05
0.78	3.91086e-05
0.8	4.18104e-05
0.82	4.44265e-05
0.84	4.69614e-05
0.86	4.94214e-05
0.88	5.18131e-05
0.9	5.4143e-05
0.92	5.64162e-05
0.94	5.86375e-05
0.96	6.08106e-05
0.98	6.29384e-05
1	6.50234e-05
1.02	6.70676e-05
1.04	6.9073e-05
1.06	7.10408e-05
1.08	7.29726e-05
1.1	7.48697e-05
1.12	7.67331e-05
1.14	7.85641e-05
1.16	8.03639e-05
1.18	8.21337e-05
1.2	8.38747e-05
1.22	8.55882e-05
1.24	8.72755e-05
1.26	8.8938e-05
1.28	9.05771e-05
1.3	9.2194e-05
1.32	9.37902e-05
1.34	9.53668e-05
1.36	9.6925e-05
1.38	9.84658e-05
1.4	9.99901e-05
1.42	0.000101499
1.44	0.000102993
1.46	0.000104472
1.48	0.000105939
1.5	0.000107392
1.52	0.000108832
1.54	0.000110261
1.56	0.00011168
1.58	0.000113089
1.6	0.000114492
1.62	0.000115892
1.64	0.000117295
1.66	0.000118709
1.68	0.000120143
1.7	0.000121609
1.72	0.000123118
1.74	0.000124674
1.76	0.00012628
1.78	0.000127939
1.8	0.000129635
1.82	0.000131427
1.84	0.000133276
1.86	0.000135124
1.88	0.000136974
1.9	0.000139005
1.92	0.00014133
1.94	0.000143735
1.96	0.000146232
1.98	0.00014854

